Clube,Nome,Apelido,Camisa
Grêmio - RS,Franco Sebastian Cristaldo,Cristaldo,19
Coritiba S.a.f. - PR,Fransergio Rodrigues Barbosa,Fransergio,0
Grêmio - RS,Freddy Ariel Noguera Rolon,Freddy,0
Botafogo - RJ,Gabriel Appelt Pires,Gabriel,14
Atlético Mineiro - MG,Gabriel Atila Cardoso da Silva,Gabriel Átila,0
Atlético - GO,Gabriel Baralhas dos Santos,Gabriel  Baralhas,0
Flamengo - RJ,Gabriel Barbosa Almeida,Gabriel Barbosa,10
Coritiba S.a.f. - PR,Gabriel Boschilia,Gabriel,0
Red Bull Bragantino - SP,Gabriel Caetano Godoy de Andrade,Caetano,0
Internacional - RS,Gabriel Carvalho Teixeira,Gabriel,0
,Gabriel Cordeiro Pirani,Gabriel Pirani,0
Red Bull Bragantino - SP,Gabriel da Silva Moyses,Gabriel,0
Internacional - RS,Gabriel de Sousa Barros,Gabriel Barros,0
Santos - SP,Gabriel de Souza Inocencio,Gabriel,12
Atlético Mineiro - MG,Gabriel Delfim Ferreira,Gabriel Delfim,1
Vasco da Gama S.a.f. - RJ,Gabriel Dias de Oliveira,Gabriel Dias,0
Palmeiras - SP,Gabriel dos Santos Silva,Gabriel (Vareta),0
Vasco da Gama S.a.f. - RJ,Gabriel Fortes Chaves,Gabriel Pec,11
Internacional - RS,Gabriel Girotto Franco,Gabriel,0
Grêmio - RS,Gabriel Hamester Grando,Gabriel Grando,12
Corinthians - SP,Gabriel Henrique Soares da Silva,Gabriel,0
Internacional - RS,Gabriel Ivan Mercado,Gabriel Mercado,25
Cruzeiro Saf - MG,Gabriel Jose Ferreira Mesquita,Gabriel Mesquita,0
Bahia - BA,Gabriel Lheman Xavier,Gabriel Xavier,0
São Paulo - SP,Gabriel Neves Perdomo,Gabriel Neves,20
Goiás - GO,Gabriel Novaes Fernandes,Gabriel Novaes,0
Athletico Paranaense - PR,Gabriel Roberto Pereira,Gabriel Pereira,0
Coritiba S.a.f. - PR,Gabriel Silva Azevedo Figueredo,Gabriel Silva,0
Corinthians - SP,Gabriel Silva Moscardo de Salles,Moscardo,0
Bahia - BA,Gabriel Teixeira Aragao,Biel,0
Botafogo - RJ,Gabriel Toebe Studt,GABRIEL,0
Coritiba S.a.f. - PR,Gabriel Vasconcelos Ferreira,Gabriel,0
Palmeiras - SP,Gabriel Vinicius Menino,Gabriel Menino,25
Cuiabá Saf - MT,Gabryel Vinicius Araújo Freitas,Gabryel,0
Vasco da Gama S.a.f. - RJ,Gary Alexis Medel Soto,Medel,0
Fortaleza - CE,Geilson de Souza Alves,Geilson,0
Fluminense - RJ,German Ezequiel Cano,German Cano,14
Flamengo - RJ,Gerson Santos da Silva,Gerson,20
Palmeiras - SP,Gilberto Junior Leite dos Santos,Gilberto,0
Bahia - BA,Gilberto Moraes Junior,Gilberto,0
Cruzeiro Saf - MG,Gilberto Oliveira Souza Junior,Gilberto,21
Flamengo - RJ,Giorgian Daniel de Arrascaeta Benedetti,De Arrascaeta,0
Corinthians - SP,Giovane Santana do Nascimento,Giovane Nascimento,0
,Giovani Henrique Amorim da Silva,Giovani,0
Fluminense - RJ,Giovanni Manson Ribeiro,Giovanni,37
São Paulo - SP,Giuliano Galoppo,Galoppo,0
Corinthians - SP,Giuliano Victor de Paula,Giuliano,20
Atlético Mineiro - MG,Givanildo Vieira de Sousa,Hulk,7
Fortaleza - CE,Glaybson Yago Souza Lisbôa,Yago,22
Fortaleza - CE,Gonzalo Daniel Escobar,Escobar,0
America Saf - MG,Gonzalo Mathias Mastriani Borges,Gonzalo Mastriani,17
Atlético Mineiro - MG,Guilherme Antonio Arana Lopes,Guilherme Arana,0
Coritiba S.a.f. - PR,Guilherme Aquino Vargas dos Santos,Guilherme Aquino,0
Fortaleza - CE,Guilherme Augusto Vieira dos Santos,Guilherme Augusto,29
São Paulo - SP,Guilherme Batista da Silva Americo,Guilherme Batista,0
Goiás - GO,Guilherme Costa Marques,Guilherme,60
Santos - SP,Guilherme de Aguiar Camacho,Camacho,29
Fortaleza - CE,Guilherme de Jesus da Silva,Guilherme,2
Internacional - RS,Guilherme de Jesus Lima,GUILHERME,0
Red Bull Bragantino - SP,Guilherme Lopes de Almeida,Guilherme,31
Cruzeiro Saf - MG,Guilherme Meira Ferreira Alves,Gui Meira,0
Bahia - BA,Guilherme Santos Brito,Guilherme Brito,0
Corinthians - SP,Guilherme Sucigan Mafra Cunha,Guilherme Biro,0
Flamengo - RJ,Guillermo Varela Olivera,Varela,2
Fluminense - RJ,Gustavo Abreu Dohmann,Dohmann,0
,Gustavo Affonso Sauerbeck,Gustavo,0
Internacional - RS,Gustavo Campanharo,Gustavo,17
Grêmio - RS,Gustavo Cesar Mendonça Gravino,Gustavo,17
Palmeiras - SP,Gustavo Garcia dos Santos,Gustavo Garcia,32
Corinthians - SP,Gustavo Henric da Silva,Mosquito,0
Red Bull Bragantino - SP,Gustavo Henrique da Silva,Gustavo Henrique,0
Cuiabá Saf - MT,Gustavo Henrique Ribeiro de Moraes,Gustavo,0
,Gustavo Marques Alves dos Santos,Gustavo,0
Grêmio - RS,Gustavo Martins de Souza Santos,G. Martins,0
Santos - SP,Gustavo Nonato Santana,Nonato,0
Grêmio - RS,Gustavo Nunes Fernandes Gomes,Gustavo,17
Internacional - RS,Gustavo Prado Alves,Gustavo,17
Fluminense - RJ,Gustavo Ramalho Bremer Pinto,Gustavo Ramalho,0
Palmeiras - SP,Gustavo Raul Gomez Portillo,Gustavo Gomez,15
Red Bull Bragantino - SP,Gustavo Reis de Alcantara,Gustavo Reis,0
Red Bull Bragantino - SP,Gustavo Ribeiro Neves,Gustavinho,22
Maringa Futebol Clube S.a.f. - PR,Gustavo Vilar dos Santos,Gustavo,0
Goiás - GO,Gustavo Xavier Teixeira,Xavier,0
Abc - RN,Habraão Lincon do Nascimento Saraiva,Habraão,0
Goiás - GO,Halerrandrio dos Santos Feitosa,Halerrandrio,0
Coritiba S.a.f. - PR,Hayner Willian Monjardim Cordeiro,Hayner,0
Vasco da Gama S.a.f. - RJ,Hedhe Halls Rocha da Silva,Halls,0
Cruzeiro Saf - MG,Helibelton Palacios Zapata,Palacios,0
Red Bull Bragantino - SP,Helio Junio Nunes de Castro,Helinho,11
Coritiba S.a.f. - PR,Henrique Adriano Buss,Henrique,0
Vila Nova - GO,Henrique Almeida Caixeta Nascentes,H. Almeida,0
Cruzeiro Saf - MG,Henrique Fernandes da Silva,Henrique,0
Cruzeiro Saf - MG,Henrique Rodrigues Cardoso,Henrique,0
Botafogo - RJ,Henrique Vermudt,Henrique Vermudt,0
Red Bull Bragantino - SP,Henry David Mosquera Sanchez,Henry Mosquera,16
Fortaleza - CE,Hercules Pereira do Nascimento,HERCULES,35
Atlético - GO,Heron Crespo da Silva,Heron Crespo,0
Corinthians - SP,Higor Augusto Farias de Oliveira,HIGOR,0
Goiás - GO,Higor Matheus Meritao,Higor,0
,Horacio Gabriel Carabajal,Carabajal,0
Cruzeiro Saf - MG,Hueglo dos Santos Neris,Neris,27
,Hugo de Souza Nogueira,Hugo,0
Goiás - GO,Hugo Ferreira de Farias,Hugo,66
Botafogo - RJ,Hugo Gonçalves Ferreira Neto,Hugo,0
Internacional - RS,Hugo Mallo Novegil,Hugo Mallo,0
Athletico Paranaense - PR,Hugo Moura Arruda da Silva,Hugo Moura,17
Atlético Mineiro - MG,Hyoran Kaue Dalmoro,Hyoran,20
America Saf - MG,Iago Justen Maidana Martins,Iago,3
Flamengo - RJ,Iago Teodoro Silva Nogueira,IAGO,0
Palmeiras - SP,Ian Custodio dos Anjos,Ian,0
Cruzeiro Saf - MG,Ian Luccas Baroni Boetto,Ian,0
São Paulo - SP,Iba Ly,Iba Ly,0
Bahia - BA,Icaro Gabriel Oliveira Peixoto,Icaro,0
America Saf - MG,Ighor Gabryel Vieira Gonçalves,Ighor Gabriel,0
Red Bull Bragantino - SP,Ignacio Jesus Laquintana Marsico,Nacho Laquintana,44
Botafogo - RJ,Igo Gabriel Santos Pereira,Igo Gabriel,52
Grêmio - RS,Igor Eduardo Schlemper,Igor,0
Internacional - RS,Igor Gomes Silva,Igor Gomes,21
Flamengo - RJ,Igor Jesus Lima,Igor Jesus,48
,Igor Marques Paciencia Cardoso,Igor Marques Paciencia Cardoso,0
,Igor Matheus Liziero Pereira,Liziero,0
Atlético Mineiro - MG,Igor Rabello da Costa,Igor,0
Atlético Mineiro - MG,Igor Silveira Gomes,Igor Gomes,17
São Paulo - SP,Igor Vinicius de Souza,Igor,0
Fortaleza - CE,Imanol Javier Machuca,Machuca,0
Atlético Mineiro - MG,Isaac Aguiar Tomich,Isaac,41
Fluminense - RJ,Isaac Rodrigues de Lima,Isaac,32
